2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.114,0.092,0.068,0.1,0.11,0.07,0.104,0.088,0.11,0.064
0.087,0.08,0.059,0.098,0.117,0.127,0.102,0.098,0.082,0.088
0.099,0.106,0.053,0.091,0.109,0.108,0.098,0.098,0.088,0.06
0.117,0.06,0.078,0.095,0.1,0.115,0.081,0.101,0.119,0.05
0.103,0.106,0.065,0.069,0.091,0.052,0.053,0.078,0.144,0.039
0.103,0.089,0.046,0.045,0.077,0.056,0.048,0.082,0.089,0.032
0.072,0.072,0.107,0.065,0.078,0.089,0.055,0.091,0.055,0.032
0.069,0.102,0.107,0.085,0.102,0.14,0.105,0.082,0.036,0.05
0.098,0.107,0.088,0.112,0.082,0.135,0.141,0.099,0.059,0.062
0.093,0.062,0.054,0.107,0.075,0.115,0.089,0.062,0.042,0.089
0.145,0.059,0.078,0.098,0.087,0.08,0.047,0.075,0.039,0.102
0.137,0.064,0.082,0.088,0.126,0.086,0.067,0.096,0.065,0.076
0.093,0.092,0.062,0.092,0.118,0.086,0.073,0.084,0.056,0.072
0.054,0.1,0.104,0.109,0.1,0.088,0.096,0.072,0.064,0.067
0.067,0.053,0.122,0.065,0.115,0.061,0.076,0.052,0.068,0.06
0.093,0.072,0.093,0.087,0.13,0.076,0.079,0.12,0.062,0.064
0.066,0.058,0.039,0.134,0.104,0.074,0.108,0.057,0.069,0.07
0.086,0.036,0.07,0.099,0.078,0.052,0.119,0.047,0.079,0.058
0.118,0.056,0.053,0.153,0.052,0.054,0.061,0.066,0.114,0.068
0.104,0.076,0.044,0.109,0.137,0.068,0.079,0.096,0.17,0.106
0.062,0.049,0.093,0.132,0.103,0.086,0.062,0.091,0.102,0.114
0.049,0.106,0.108,0.078,0.121,0.065,0.079,0.079,0.083,0.189
0.044,0.124,0.103,0.112,0.066,0.085,0.103,0.054,0.095,0.146
0.039,0.042,0.141,0.114,0.043,0.094,0.108,0.069,0.111,0.145
