2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.068,0.016,0.013,0.046,0.041,0.021,0.012,0.019,0.025,0.035
0.012,0.060,0.016,0.052,0.036,0.021,0.012,0.014,0.025,0.043
0.015,0.027,0.012,0.068,0.035,0.024,0.016,0.015,0.024,0.047
0.024,0.040,0.011,0.072,0.020,0.031,0.020,0.009,0.014,0.034
0.018,0.009,0.019,0.075,0.018,0.029,0.014,0.009,0.026,0.049
0.024,0.015,0.011,0.068,0.057,0.026,0.018,0.014,0.031,0.046
0.026,0.015,0.016,0.053,0.026,0.020,0.017,0.015,0.038,0.043
0.029,0.014,0.015,0.054,0.022,0.021,0.022,0.009,0.018,0.048
0.025,0.008,0.018,0.065,0.020,0.024,0.022,0.015,0.026,0.065
0.033,0.016,0.028,0.052,0.022,0.024,0.013,0.015,0.023,0.052
0.040,0.018,0.017,0.046,0.024,0.027,0.014,0.015,0.015,0.048
0.014,0.020,0.011,0.049,0.032,0.026,0.017,0.014,0.020,0.046
0.010,0.022,0.014,0.047,0.050,0.023,0.020,0.010,0.021,0.041
0.009,0.018,0.005,0.044,0.050,0.021,0.029,0.013,0.015,0.042
0.021,0.031,0.006,0.045,0.036,0.023,0.016,0.010,0.026,0.033
0.020,0.014,0.007,0.029,0.034,0.019,0.018,0.017,0.016,0.043
0.027,0.017,0.006,0.023,0.045,0.026,0.021,0.014,0.011,0.023
0.028,0.007,0.014,0.033,0.038,0.027,0.016,0.019,0.018,0.035
0.024,0.012,0.007,0.028,0.030,0.024,0.015,0.024,0.015,0.031
0.023,0.015,0.006,0.026,0.023,0.018,0.013,0.014,0.029,0.042
0.019,0.020,0.007,0.020,0.021,0.022,0.014,0.013,0.042,0.044
0.025,0.026,0.009,0.024,0.027,0.036,0.017,0.012,0.012,0.043
0.021,0.011,0.010,0.029,0.035,0.033,0.013,0.020,0.013,0.044
0.019,0.013,0.010,0.034,0.033,0.052,0.017,0.014,0.022,0.042
0.015,0.015,0.007,0.049,0.030,0.053,0.016,0.015,0.021,0.044
0.021,0.021,0.009,0.044,0.024,0.025,0.012,0.018,0.019,0.047
0.015,0.016,0.011,0.062,0.020,0.026,0.017,0.014,0.018,0.054
0.017,0.010,0.015,0.044,0.031,0.022,0.011,0.019,0.034,0.046
0.018,0.024,0.014,0.029,0.025,0.026,0.014,0.027,0.027,0.053
0.023,0.025,0.011,0.022,0.028,0.016,0.015,0.022,0.025,0.055
0.066,0.066,0.009,0.020,0.039,0.024,0.022,0.018,0.021,0.058
0.021,0.019,0.011,0.028,0.035,0.020,0.027,0.017,0.022,0.046
0.023,0.018,0.010,0.036,0.025,0.023,0.022,0.016,0.017,0.050
0.034,0.040,0.012,0.049,0.027,0.026,0.028,0.027,0.015,0.046
0.027,0.027,0.012,0.052,0.029,0.025,0.017,0.016,0.013,0.050
0.018,0.010,0.013,0.053,0.048,0.022,0.012,0.017,0.025,0.052
0.021,0.013,0.014,0.020,0.034,0.022,0.012,0.039,0.022,0.059
0.023,0.017,0.024,0.025,0.035,0.023,0.019,0.043,0.018,0.057
0.021,0.017,0.029,0.036,0.027,0.029,0.013,0.033,0.037,0.054
0.020,0.025,0.027,0.044,0.035,0.025,0.016,0.028,0.023,0.109
0.016,0.018,0.021,0.042,0.024,0.025,0.018,0.025,0.019,0.055
0.018,0.007,0.021,0.041,0.034,0.043,0.017,0.028,0.028,0.050
0.034,0.010,0.022,0.035,0.028,0.055,0.016,0.022,0.028,0.047
0.027,0.013,0.022,0.036,0.023,0.041,0.042,0.015,0.024,0.048
0.036,0.021,0.022,0.045,0.029,0.029,0.038,0.017,0.025,0.044
0.042,0.025,0.044,0.043,0.028,0.036,0.020,0.021,0.026,0.043
0.024,0.032,0.025,0.044,0.026,0.044,0.021,0.015,0.035,0.047
0.018,0.037,0.021,0.074,0.028,0.042,0.017,0.016,0.033,0.046
0.011,0.030,0.041,0.054,0.017,0.049,0.047,0.012,0.016,0.046
0.014,0.017,0.051,0.044,0.028,0.031,0.044,0.015,0.026,0.044
0.014,0.024,0.032,0.025,0.032,0.066,0.038,0.030,0.038,0.046
0.021,0.027,0.042,0.029,0.020,0.043,0.066,0.025,0.024,0.047
0.018,0.019,0.032,0.061,0.015,0.066,0.042,0.019,0.027,0.058
0.021,0.016,0.033,0.050,0.029,0.036,0.044,0.024,0.030,0.035
0.017,0.036,0.030,0.049,0.043,0.055,0.020,0.023,0.020,0.040
0.017,0.025,0.031,0.048,0.031,0.052,0.044,0.022,0.014,0.049
0.033,0.019,0.035,0.047,0.034,0.070,0.044,0.029,0.017,0.051
0.047,0.028,0.039,0.032,0.019,0.049,0.040,0.022,0.022,0.063
0.044,0.046,0.038,0.040,0.026,0.061,0.040,0.017,0.028,0.065
0.049,0.028,0.034,0.046,0.030,0.066,0.039,0.021,0.030,0.058
0.027,0.022,0.023,0.053,0.027,0.053,0.030,0.019,0.025,0.057
0.028,0.024,0.039,0.034,0.032,0.071,0.032,0.020,0.019,0.052
0.093,0.022,0.035,0.043,0.046,0.060,0.050,0.010,0.018,0.103
0.037,0.029,0.034,0.062,0.041,0.071,0.041,0.010,0.018,0.122
0.054,0.033,0.024,0.064,0.041,0.069,0.045,0.025,0.021,0.063
0.072,0.038,0.023,0.059,0.029,0.092,0.043,0.041,0.018,0.052
0.066,0.037,0.025,0.041,0.022,0.075,0.047,0.036,0.018,0.055
0.046,0.012,0.026,0.055,0.027,0.080,0.046,0.036,0.019,0.085
0.049,0.021,0.039,0.060,0.032,0.069,0.041,0.083,0.014,0.098
0.039,0.037,0.025,0.076,0.061,0.082,0.035,0.123,0.019,0.099
0.032,0.058,0.030,0.051,0.060,0.060,0.039,0.051,0.021,0.089
0.057,0.047,0.081,0.079,0.022,0.074,0.077,0.053,0.020,0.096
0.105,0.056,0.114,0.089,0.032,0.106,0.090,0.049,0.016,0.091
0.076,0.067,0.059,0.031,0.032,0.113,0.100,0.077,0.018,0.087
0.112,0.063,0.062,0.035,0.026,0.122,0.165,0.244,0.024,0.100
0.095,0.070,0.035,0.052,0.033,0.066,0.141,0.119,0.023,0.100
0.068,0.077,0.042,0.077,0.050,0.061,0.092,0.068,0.018,0.112
0.028,0.088,0.028,0.094,0.031,0.101,0.109,0.119,0.023,0.091
0.036,0.101,0.021,0.074,0.043,0.077,0.097,0.143,0.021,0.069
0.074,0.110,0.024,0.067,0.038,0.083,0.120,0.194,0.022,0.074
0.085,0.045,0.021,0.051,0.028,0.081,0.112,0.252,0.018,0.106
0.092,0.046,0.026,0.092,0.025,0.098,0.124,0.135,0.029,0.109
0.116,0.057,0.019,0.150,0.031,0.107,0.195,0.115,0.025,0.113
0.045,0.081,0.016,0.105,0.028,0.181,0.134,0.115,0.020,0.103
