2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.025,0.022,0.032,0.013,0.021,0.011,0.011,0.013,0.012,0.019
0.026,0.030,0.052,0.014,0.010,0.016,0.007,0.009,0.012,0.021
0.028,0.023,0.059,0.014,0.012,0.012,0.008,0.013,0.020,0.014
0.033,0.026,0.067,0.018,0.010,0.012,0.010,0.009,0.015,0.010
0.024,0.016,0.061,0.017,0.011,0.013,0.009,0.011,0.017,0.011
0.026,0.013,0.048,0.017,0.008,0.013,0.008,0.011,0.025,0.010
0.016,0.018,0.059,0.015,0.006,0.014,0.010,0.010,0.026,0.017
0.030,0.026,0.041,0.016,0.007,0.015,0.006,0.011,0.037,0.014
0.043,0.026,0.051,0.011,0.007,0.012,0.011,0.010,0.034,0.010
0.030,0.029,0.058,0.010,0.005,0.010,0.006,0.009,0.020,0.014
0.036,0.019,0.052,0.011,0.010,0.010,0.006,0.011,0.012,0.009
0.023,0.019,0.044,0.008,0.009,0.013,0.005,0.010,0.012,0.015
0.015,0.024,0.042,0.012,0.008,0.012,0.006,0.012,0.013,0.009
0.022,0.023,0.040,0.008,0.010,0.009,0.006,0.013,0.014,0.008
0.022,0.027,0.050,0.007,0.013,0.011,0.007,0.013,0.012,0.014
0.026,0.019,0.047,0.014,0.012,0.013,0.006,0.014,0.023,0.013
0.037,0.013,0.036,0.013,0.011,0.011,0.007,0.010,0.019,0.019
0.022,0.019,0.041,0.014,0.018,0.011,0.006,0.009,0.018,0.014
0.018,0.015,0.044,0.009,0.012,0.011,0.006,0.009,0.019,0.015
0.025,0.014,0.048,0.016,0.014,0.010,0.007,0.013,0.018,0.015
0.029,0.016,0.035,0.026,0.018,0.010,0.008,0.012,0.013,0.013
0.034,0.018,0.041,0.019,0.016,0.010,0.011,0.008,0.018,0.021
0.030,0.024,0.045,0.012,0.016,0.010,0.012,0.010,0.015,0.016
0.016,0.021,0.033,0.020,0.012,0.012,0.013,0.009,0.018,0.015
0.016,0.015,0.023,0.014,0.015,0.015,0.009,0.012,0.012,0.014
0.014,0.014,0.034,0.016,0.015,0.012,0.010,0.009,0.013,0.019
0.026,0.017,0.042,0.008,0.009,0.013,0.012,0.008,0.019,0.016
0.030,0.018,0.040,0.016,0.011,0.010,0.007,0.011,0.020,0.011
0.036,0.018,0.034,0.020,0.013,0.008,0.010,0.009,0.016,0.011
0.033,0.020,0.027,0.017,0.014,0.009,0.009,0.009,0.021,0.018
0.017,0.012,0.025,0.017,0.012,0.008,0.008,0.008,0.017,0.019
0.013,0.025,0.023,0.019,0.012,0.008,0.009,0.011,0.016,0.011
0.014,0.022,0.020,0.022,0.016,0.011,0.007,0.008,0.011,0.015
0.015,0.020,0.026,0.014,0.016,0.010,0.010,0.010,0.015,0.013
